id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
227,28.773,0.002024,224,1,2,0,0,0,0,0
228,28.778,0.001218,0,1,0,0,0,0,1,0
229,29.142,0.00167,0,1,0,0,0,0,1,0
230,29.503,0.001262,0,0,0,512,0,0,0,0
231,29.511,0.004128,512,1,7,0,0,0,0,0
232,29.518,1.086689,3584,0.625,15,0,0,0,0,0
233,30.616,0.001445,0,0,0,8,0,0,0,1
234,30.639,0.005104,1024,1,8,0,0,0,0,0
235,30.66,0.00107,0,0,0,16,0,0,0,0
236,30.681,0.002336,16,1,1,0,0,0,0,0
237,30.711,0.082001,64,0.625,2,0,0,0,0,0
238,30.806,0.00111,0,0,0,8,0,0,0,1
239,30.827,0.002642,24,1,1,0,0,0,0,0
240,30.854,0.006526,16,1,1,0,0,0,0,0
241,30.873,0.002845,0,0,0,664,0,0,0,2
