id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
205,13.573,0.070975,8192,0,13,0,0,0,0,0
206,13.662,0.005344,16,1.0,1,0,0,0,0,0
207,13.686,0.069536,8192,0,13,0,0,0,0,0
208,13.773,0.005344,16,1.0,1,0,0,0,0,0
209,13.796,0.070783,8192,0,13,0,0,0,0,0
210,13.885,0.005344,16,1.0,1,0,0,0,0,0
211,13.909,0.070752,8192,0,13,0,0,0,0,0
212,13.997,0.005248,16,1.0,1,0,0,0,0,0
213,14.021,0.070495,8192,0,13,0,0,0,0,0
214,14.109,0.004992,16,1.0,1,0,0,0,0,0
215,14.141,0.069056,8192,0,13,0,0,0,0,0
216,14.228,0.00512,16,1.0,1,0,0,0,0,0
217,14.251,0.070272,8192,0,13,0,0,0,0,0
218,14.339,0.00512,16,1.0,1,0,0,0,0,0
219,14.362,0.07024,8192,0,13,0,0,0,0,0
220,14.45,0.005152,16,1.0,1,0,0,0,0,0
221,14.473,0.069952,8192,0,13,0,0,0,0,0
222,14.56,0.005056,16,1.0,1,0,0,0,0,0
223,14.583,0.068607,8192,0,13,0,0,0,0,0
224,14.669,0.005024,16,1.0,1,0,0,0,0,0
225,14.691,0.06976,8192,0,13,0,0,0,0,0
226,14.779,0.004352,16,1.0,1,0,0,0,0,0
227,14.801,0.069727,8192,0,13,0,0,0,0,0
228,14.888,0.004384,16,1.0,1,0,0,0,0,0
229,14.91,0.069504,8192,0,13,0,0,0,0,0
230,14.997,0.004352,16,1.0,1,0,0,0,0,0
231,15.019,0.068095,8192,0,13,0,0,0,0,0
232,15.104,0.004352,16,1.0,1,0,0,0,0,0
233,15.126,0.06928,8192,0,13,0,0,0,0,0
234,15.213,0.00512,16,1.0,1,0,0,0,0,0
235,15.236,0.069279,8192,0,13,0,0,0,0,0
236,15.323,0.005056,16,1.0,1,0,0,0,0,0
237,15.345,0.069024,8192,0,13,0,0,0,0,0
238,15.432,0.005024,16,1.0,1,0,0,0,0,0
239,15.455,0.067552,8192,0,13,0,0,0,0,0
240,15.539,0.005056,16,1.0,1,0,0,0,0,0
241,15.562,0.068832,8192,0,13,0,0,0,0,0
242,15.648,0.004224,16,1.0,1,0,0,0,0,0
243,15.67,0.068736,8192,0,13,0,0,0,0,0
244,15.756,0.005088,16,1.0,1,0,0,0,0,0
245,15.779,0.068543,8192,0,13,0,0,0,0,0
246,15.864,0.005056,16,1.0,1,0,0,0,0,0
247,15.887,0.067104,8192,0,13,0,0,0,0,0
248,15.971,0.005056,16,1.0,1,0,0,0,0,0
249,15.994,0.068351,8192,0,13,0,0,0,0,0
250,16.08,0.005056,16,1.0,1,0,0,0,0,0
251,16.103,0.06832,8192,0,13,0,0,0,0,0
252,16.188,0.005088,16,1.0,1,0,0,0,0,0
253,16.211,0.068063,8192,0,13,0,0,0,0,0
254,16.296,0.005056,16,1.0,1,0,0,0,0,0
255,16.319,0.06656,8192,0,13,0,0,0,0,0
256,16.403,0.00496,16,1.0,1,0,0,0,0,0
257,16.426,0.067775,8192,0,13,0,0,0,0,0
258,16.511,0.005056,16,1.0,1,0,0,0,0,0
259,16.534,0.067808,8192,0,13,0,0,0,0,0
260,16.619,0.004192,16,1.0,1,0,0,0,0,0
261,16.64,0.067519,8192,0,13,0,0,0,0,0
262,16.725,0.004128,16,1.0,1,0,0,0,0,0
263,16.747,0.066272,8192,0,13,0,0,0,0,0
264,16.831,0.005056,16,1.0,1,0,0,0,0,0
265,16.853,0.067328,8192,0,13,0,0,0,0,0
266,16.939,0.005056,16,1.0,1,0,0,0,0,0
267,16.962,0.067232,8192,0,13,0,0,0,0,0
268,17.046,0.005056,16,1.0,1,0,0,0,0,0
269,17.069,0.066976,8192,0,13,0,0,0,0,0
270,17.154,0.005024,16,1.0,1,0,0,0,0,0
271,17.179,0.06576,8192,0,13,0,0,0,0,0
272,17.262,0.005024,16,1.0,1,0,0,0,0,0
273,17.285,0.066784,8192,0,13,0,0,0,0,0
274,17.371,0.005056,16,1.0,1,0,0,0,0,0
275,17.395,0.066783,8192,0,13,0,0,0,0,0
276,17.479,0.00496,16,1.0,1,0,0,0,0,0
277,17.502,0.066528,8192,0,13,0,0,0,0,0
278,17.585,0.004992,16,1.0,1,0,0,0,0,0
279,17.608,0.065375,8192,0,13,0,0,0,0,0
280,17.69,0.005056,16,1.0,1,0,0,0,0,0
281,17.713,0.066368,8192,0,13,0,0,0,0,0
282,17.797,0.00416,16,1.0,1,0,0,0,0,0
283,17.819,0.066303,8192,0,13,0,0,0,0,0
284,17.903,0.004992,16,1.0,1,0,0,0,0,0
285,17.925,0.066048,8192,0,13,0,0,0,0,0
286,18.008,0.004928,16,1.0,1,0,0,0,0,0
287,18.031,0.064863,8192,0,13,0,0,0,0,0
288,18.113,0.004928,16,1.0,1,0,0,0,0,0
289,18.136,0.065952,8192,0,13,0,0,0,0,0
290,18.219,0.004928,16,1.0,1,0,0,0,0,0
291,18.242,0.065855,8192,0,13,0,0,0,0,0
292,18.325,0.004928,16,1.0,1,0,0,0,0,0
